N.,COMUNE,PROVINCIA,POPOLAZIONE,S.R.R. di COMPETENZA,R.I. (ton),R.D. (ton),R.T. (ton),% R.D.,R.C. (ton),EXTRA D.M. 2016 (ton)
260,Cefalù,PALERMO,13.840,PALERMO PROVINCIA EST,"1.879,80","755,55","2.635,35","71,33%","2.635,35","0,00"
261,Ficarazzi,PALERMO,12.802,PALERMO AREA METROPOLITANA,"528,17","602,48","1.130,65","46,71%","1.130,65","0,00"
262,Cinisi,PALERMO,12.135,PALERMO AREA METROPOLITANA,"977,03","141,45","1.118,48","87,35%","1.123,14","4,66"
263,Terrasini,PALERMO,13.083,PALERMO AREA METROPOLITANA,"1.161,46","175,42","1.336,88","86,88%","1.336,88","0,00"
264,Casteldaccia,PALERMO,11.703,PALERMO AREA METROPOLITANA,"1.152,17","619,38","1.771,55","65,04%","1.771,55","0,00"
265,Capaci,PALERMO,11.365,PALERMO AREA METROPOLITANA,"50,28","369,25","419,53","11,98%","419,53","0,00"
266,Belmonte Mezzagno,PALERMO,10.758,PALERMO AREA METROPOLITANA,"491,47","223,22","714,69","68,77%","729,83","15,14"
267,Corleone,PALERMO,10.219,PALERMO PROVINCIA OVEST,"852,31","312,58","1.164,89","73,17%","1.164,89","0,00"
268,Santa Flavia,PALERMO,10.980,PALERMO AREA METROPOLITANA,"972,26","364,26","1.336,52","72,75%","1.336,52","0,00"
269,Trabia,PALERMO,10.681,PALERMO PROVINCIA EST,"1.045,85","592,90","1.638,75","63,82%","1.638,75","0,00"
270,Altofonte,PALERMO,9.686,PALERMO AREA METROPOLITANA,"332,82","141,35","474,17","70,19%","474,17","0,00"
271,Castelbuono,PALERMO,7.928,PALERMO PROVINCIA EST,"595,27","259,76","855,03","69,62%","855,03","0,00"
272,San Giuseppe Jato,PALERMO,7.962,PALERMO PROVINCIA OVEST,"832,20","57,08","889,28","93,58%","889,28","0,00"
273,Caccamo,PALERMO,7.563,PALERMO PROVINCIA EST,"0,00","0,00","0,00","0,00%","0,00","0,00"
274,Altavilla Milicia,PALERMO,8.927,PALERMO PROVINCIA EST,"402,20","318,02","720,22","55,84%","720,22","0,00"
275,Campofelice di Roccella,PALERMO,7.796,PALERMO PROVINCIA EST,"689,07","387,85","1.076,92","63,99%","1.102,33","25,41"
276,Borgetto,PALERMO,7.137,PALERMO AREA METROPOLITANA,"485,28","184,18","669,46","72,49%","669,46","0,00"
277,Isola delle Femmine,PALERMO,6.975,PALERMO AREA METROPOLITANA,"367,10","382,14","749,24","49,00%","749,24","0,00"
278,Gangi,PALERMO,5.998,PALERMO PROVINCIA EST,"316,23","120,96","437,18","72,33%","437,18","0,00"
279,Lercara Friddi,PALERMO,6.078,PALERMO PROVINCIA OVEST,"546,69","207,16","753,85","72,52%","753,85","0,00"
280,Marineo,PALERMO,5.973,PALERMO PROVINCIA OVEST,"631,49","112,80","744,29","84,84%","744,29","0,00"
281,Balestrate,PALERMO,6.334,PALERMO AREA METROPOLITANA,"318,74","58,33","377,07","84,53%","377,07","0,00"
282,Montelepre,PALERMO,5.671,PALERMO AREA METROPOLITANA,"370,99","66,01","437,00","84,89%","437,12","0,12"
283,Piana degli Albanesi,PALERMO,5.226,PALERMO PROVINCIA OVEST,"354,48","77,04","431,52","82,15%","431,52","0,00"
284,San Cipirello,PALERMO,4.838,PALERMO PROVINCIA OVEST,"457,93","43,26","501,19","91,37%","501,19","0,00"
285,Cerda,PALERMO,4.824,PALERMO PROVINCIA EST,"397,79","136,74","534,53","74,42%","534,53","0,00"
286,Prizzi,PALERMO,4.071,PALERMO PROVINCIA OVEST,"386,18","79,62","465,80","82,91%","465,80","0,00"
287,Bisacquino,PALERMO,4.000,PALERMO PROVINCIA OVEST,"428,36","147,64","576,00","74,37%","576,00","0,00"
288,Torretta,PALERMO,4.433,PALERMO AREA METROPOLITANA,"206,20","82,18","288,38","71,50%","288,38","0,00"
289,Bolognetta,PALERMO,4.063,PALERMO PROVINCIA OVEST,"355,85","104,96","460,81","77,22%","460,81","0,00"
290,Collesano,PALERMO,3.607,PALERMO PROVINCIA EST,"240,85","106,53","347,38","69,33%","351,12","3,74"
291,Caltavuturo,PALERMO,3.372,PALERMO PROVINCIA EST,"193,98","142,84","336,82","57,59%","336,82","0,00"
292,Ciminna,PALERMO,3.336,PALERMO PROVINCIA EST,"346,62","114,60","461,22","75,15%","461,22","0,00"
293,Alia,PALERMO,3.171,PALERMO PROVINCIA EST,"237,24","108,43","345,66","68,63%","345,66","0,00"
294,Valledolmo,PALERMO,3.079,PALERMO PROVINCIA EST,"274,99","85,44","360,43","76,29%","360,43","0,00"
295,Lascari,PALERMO,3.727,PALERMO PROVINCIA EST,"324,78","84,95","409,73","79,27%","423,98","14,26"
296,Polizzi Generosa,PALERMO,2.796,PALERMO PROVINCIA EST,"215,77","122,78","338,55","63,73%","338,55","0,00"
297,Castellana Sicula,PALERMO,2.917,PALERMO PROVINCIA EST,"234,14","115,22","349,36","67,02%","349,36","0,00"
298,Montemaggiore Belsito,PALERMO,2.822,PALERMO PROVINCIA EST,"224,40","102,47","326,87","68,65%","333,14","6,27"
299,Camporeale,PALERMO,2.875,PALERMO PROVINCIA OVEST,"336,36","42,70","379,06","88,74%","379,06","0,00"
300,Petralia Soprana,PALERMO,2.866,PALERMO PROVINCIA EST,"173,21","64,38","237,59","72,90%","237,59","0,00"
301,Villafrati,PALERMO,3.079,PALERMO PROVINCIA EST,"275,97","115,92","391,89","70,42%","391,89","0,00"
302,Trappeto,PALERMO,3.127,PALERMO AREA METROPOLITANA,"367,87","56,62","424,49","86,66%","424,49","0,00"
303,Castronovo di Sicilia,PALERMO,2.770,PALERMO PROVINCIA OVEST,"215,43","102,58","318,01","67,74%","318,01","0,00"
304,Pollina,PALERMO,2.819,PALERMO PROVINCIA EST,"215,69","81,27","296,96","72,63%","296,96","0,00"
305,Mezzojuso,PALERMO,2.531,PALERMO PROVINCIA EST,"165,56","87,82","253,38","65,34%","253,38","0,00"
306,Vicari,PALERMO,2.370,PALERMO PROVINCIA OVEST,"0,00","0,00","0,00","0,00%","0,00","0,00"
307,Chiusa Sclafani,PALERMO,2.434,PALERMO PROVINCIA OVEST,"243,20","112,42","355,62","68,39%","355,62","0,00"
308,Petralia Sottana,PALERMO,2.382,PALERMO PROVINCIA EST,"203,28","94,88","298,16","68,18%","298,16","0,00"
309,Sciara,PALERMO,2.438,PALERMO PROVINCIA EST,"253,75","48,32","302,07","84,00%","302,07","0,00"
310,Roccapalumba,PALERMO,2.117,PALERMO PROVINCIA OVEST,"170,38","64,08","234,46","72,67%","234,46","0,00"
311,Giardinello,PALERMO,2.230,PALERMO AREA METROPOLITANA,"121,89","22,94","144,83","84,16%","144,83","0,00"
312,Palazzo Adriano,PALERMO,1.738,PALERMO PROVINCIA OVEST,"75,82","46,53","122,35","61,97%","122,35","0,00"
313,Alimena,PALERMO,1.867,PALERMO PROVINCIA EST,"134,80","40,82","175,61","76,76%","188,33","12,72"
