n;comune;provincia;popolazione;s_r_r_di_competenza;r_i_ton;r_d_ton;r_t_ton;r_d;r_c_ton;extra_d_m_2016_ton;sigla_automobilistica;id_comune
369;Mazara del Vallo;TRAPANI;49970;TRAPANI PROVINCIA SUD;5211,09;972,55;6183,64;84,27;6190,96;7,32;TP;081012-(2016-06-06)
370;Alcamo;TRAPANI;44596;TRAPANI PROVINCIA NORD;4188,5;2001,52;6190,02;67,67;6213,45;23,43;TP;081001-(2016-06-06)
371;Castelvetrano;TRAPANI;29342;TRAPANI PROVINCIA SUD;3624,61;673,02;4297,63;84,34;4297,95;0,33;TP;081006-(1948-01-01)
372;Erice;TRAPANI;25756;TRAPANI PROVINCIA NORD;3826,69;1358,31;5185,0;73,8;5185,35;0,36;TP;081008-(1948-01-01)
373;Castellammare del Golfo;TRAPANI;14584;TRAPANI PROVINCIA NORD;2230,24;620,66;2850,9;78,23;2858,82;7,92;TP;081005-(2016-06-06)
374;Valderice;TRAPANI;11289;TRAPANI PROVINCIA NORD;1647,09;346,76;1993,85;82,61;1994,89;1,04;TP;081022-(2016-06-06)
375;Campobello di Mazara;TRAPANI;11224;TRAPANI PROVINCIA SUD;629,55;322,0;951,55;66,16;951,55;0,0;TP;081004-(1948-01-01)
376;Paceco;TRAPANI;10564;TRAPANI PROVINCIA NORD;1230,82;235,34;1466,16;83,95;1633,94;167,78;TP;081013-(1861-03-17)
377;Partanna;TRAPANI;9782;TRAPANI PROVINCIA SUD;1233,98;260,16;1494,14;82,59;1494,14;0,0;TP;081015-(2016-06-06)
378;Salemi;TRAPANI;9822;TRAPANI PROVINCIA SUD;1165,15;243,96;1409,11;82,69;1409,11;0,0;TP;081018-(2016-06-06)
379;Petrosino;TRAPANI;7921;TRAPANI PROVINCIA SUD;1130,26;142,88;1273,14;88,78;1273,14;0,0;TP;081024-(2016-06-06)
380;Pantelleria;TRAPANI;7175;TRAPANI PROVINCIA NORD;773,43;202,0;975,43;79,29;975,43;0,0;TP;081014-(2016-06-06)
381;Calatafimi-Segesta;TRAPANI;6019;TRAPANI PROVINCIA NORD;695,78;129,99;825,77;84,26;825,77;0,0;TP;081003-(2016-06-06)
382;Custonaci;TRAPANI;5251;TRAPANI PROVINCIA NORD;678,49;239,02;917,51;73,95;917,51;0,0;TP;081007-(2016-06-06)
383;Santa Ninfa;TRAPANI;4705;TRAPANI PROVINCIA SUD;474,87;98,02;572,89;82,89;572,89;0,0;TP;081019-(2016-06-06)
384;San Vito Lo Capo;TRAPANI;4866;TRAPANI PROVINCIA NORD;77,18;33,4;110,58;69,8;110,58;0,0;TP;081020-(2016-06-06)
385;Favignana;TRAPANI;4515;TRAPANI PROVINCIA NORD;760,83;174,49;935,32;81,34;935,32;0,0;TP;081009-(2016-06-06)
386;Gibellina;TRAPANI;3650;TRAPANI PROVINCIA SUD;521,52;159,25;680,77;76,61;680,77;0,0;TP;081010-(2016-06-06)
387;Buseto Palizzolo;TRAPANI;2754;TRAPANI PROVINCIA NORD;343,51;66,37;409,88;83,81;409,88;0,0;TP;081002-(2016-06-06)
388;Vita;TRAPANI;1733;TRAPANI PROVINCIA SUD;167,69;37,96;205,65;81,54;205,65;0,0;TP;081023-(2016-06-06)
389;Salaparuta;TRAPANI;1567;TRAPANI PROVINCIA SUD;185,74;40,32;226,06;82,16;226,06;0,0;TP;081017-(2016-06-06)
390;Poggioreale;TRAPANI;1277;TRAPANI PROVINCIA SUD;111,64;20,36;132,0;84,58;132,0;0,0;TP;081016-(2016-06-06)
391;Misiliscemi;TRAPANI;8454;TRAPANI PROVINCIA NORD;1052,97;535,4;1588,38;66,29;1593,85;5,47;TP;081025-(2021-02-20)
