n;comune;provincia;popolazione;s_r_r_di_competenza;r_i_ton;r_d_ton;r_t_ton;r_d;r_c_ton;extra_d_m_2016_ton;sigla_automobilistica;id_comune
89;Motta Sant'Anastasia;CATANIA;12120;CATANIA AREA METROPOLITANA;1460,56;703,37;2163,93;67,5;2166,41;2,48;CT;087030-(2016-06-06)
90;San Gregorio di Catania;CATANIA;11455;CATANIA AREA METROPOLITANA;918,54;371,22;1289,76;71,22;1289,76;0,0;CT;087042-(2016-06-06)
91;Randazzo;CATANIA;10041;CATANIA PROVINCIA NORD;746,39;249,5;995,89;74,95;996,69;0,8;CT;087038-(2016-06-06)
92;Trecastagni;CATANIA;11349;CATANIA AREA METROPOLITANA;1776,77;539,59;2316,36;76,71;2318,26;1,9;CT;087050-(2016-06-06)
93;Ramacca;CATANIA;10082;CATANIA PROVINCIA SUD;1044,62;437,66;1482,28;70,47;1482,28;0,0;CT;087037-(2016-06-06)
94;Fiumefreddo di Sicilia;CATANIA;8966;CATANIA PROVINCIA NORD;765,78;270,59;1036,36;73,89;1036,36;0,0;CT;087016-(2016-06-06)
95;Sant'Agata li Battiati;CATANIA;9197;CATANIA AREA METROPOLITANA;0,0;0,0;0,0;0,0;0,0;0,0;CT;087045-(2016-06-06)
96;Zafferana Etnea;CATANIA;9352;CATANIA AREA METROPOLITANA;0,0;0,0;0,0;0,0;0,0;0,0;CT;087055-(2016-06-06)
97;Santa Venerina;CATANIA;8411;CATANIA PROVINCIA NORD;1314,85;130,86;1445,71;90,95;1445,71;0,0;CT;087048-(2016-06-06)
98;Viagrande;CATANIA;8923;CATANIA AREA METROPOLITANA;927,21;300,88;1228,09;75,5;1229,51;1,42;CT;087053-(2016-06-06)
99;Valverde;CATANIA;7794;CATANIA AREA METROPOLITANA;636,15;284,11;920,26;69,13;920,26;0,0;CT;087052-(2016-06-06)
100;Santa Maria di Licodia;CATANIA;7576;CATANIA AREA METROPOLITANA;739,3;375,45;1114,75;66,32;1114,75;0,0;CT;087047-(2016-06-06)
101;San Pietro Clarenza;CATANIA;8342;CATANIA AREA METROPOLITANA;1180,04;267,58;1447,62;81,52;1454,26;6,64;CT;087044-(2016-06-06)
102;Militello in Val di Catania;CATANIA;6636;CATANIA PROVINCIA SUD;664,63;262,36;926,99;71,7;926,99;0,0;CT;087025-(2016-06-06)
103;Nicolosi;CATANIA;7694;CATANIA AREA METROPOLITANA;1267,37;565,1;1832,47;69,16;1832,47;0,0;CT;087031-(2016-06-06)
104;Vizzini;CATANIA;5640;CATANIA PROVINCIA SUD;501,81;292,84;794,65;63,15;794,65;0,0;CT;087054-(2016-06-06)
105;Linguaglossa;CATANIA;5027;CATANIA PROVINCIA NORD;378,88;141,35;520,24;72,83;520,24;0,0;CT;087021-(2016-06-06)
106;Calatabiano;CATANIA;5125;CATANIA PROVINCIA NORD;272,04;111,72;383,76;70,89;383,76;0,0;CT;087010-(2016-06-06)
107;Mineo;CATANIA;4369;CATANIA PROVINCIA SUD;423,8;150,14;573,94;73,84;573,94;0,0;CT;087027-(2016-06-06)
108;Mirabella Imbaccari;CATANIA;4157;CATANIA PROVINCIA SUD;480,47;191,64;672,11;71,49;672,11;0,0;CT;087028-(2016-06-06)
109;Camporotondo Etneo;CATANIA;5211;CATANIA AREA METROPOLITANA;429,52;96,51;526,04;81,65;526,04;0,0;CT;087012-(2016-06-06)
110;Castel di Iudica;CATANIA;4225;CATANIA PROVINCIA SUD;424,96;140,0;564,96;75,22;564,96;0,0;CT;087013-(2016-06-06)
111;Mazzarrone;CATANIA;3986;CATANIA PROVINCIA SUD;452,87;140,82;593,69;76,28;593,69;0,01;CT;087056-(2016-06-06)
112;Piedimonte Etneo;CATANIA;3876;CATANIA PROVINCIA NORD;283,31;103,63;386,93;73,22;386,93;0,0;CT;087035-(2016-06-06)
113;Maletto;CATANIA;3549;CATANIA PROVINCIA NORD;391,5;96,94;488,44;80,15;488,44;0,0;CT;087022-(2016-06-06)
114;Ragalna;CATANIA;4310;CATANIA AREA METROPOLITANA;0,0;0,0;0,0;0,0;0,0;0,0;CT;087058-(2016-06-06)
115;Maniace;CATANIA;3748;CATANIA PROVINCIA NORD;0,0;0,0;0,0;0,0;0,0;0,0;CT;087057-(2016-06-06)
116;Aci Bonaccorsi;CATANIA;3556;CATANIA AREA METROPOLITANA;378,28;89,24;467,52;80,91;467,52;0,0;CT;087001-(2016-06-06)
117;Castiglione di Sicilia;CATANIA;2855;CATANIA PROVINCIA NORD;341,72;113,4;455,12;75,08;455,12;0,0;CT;087014-(2016-06-06)
118;San Michele di Ganzaria;CATANIA;2797;CATANIA PROVINCIA SUD;334,27;89,28;423,55;78,92;423,55;0,0;CT;087043-(2016-06-06)
119;Raddusa;CATANIA;2766;CATANIA PROVINCIA SUD;290,78;91,58;382,36;76,05;382,36;0,0;CT;087036-(2016-06-06)
120;Licodia Eubea;CATANIA;2761;CATANIA PROVINCIA SUD;258,91;74,52;333,43;77,65;333,43;0,0;CT;087020-(2016-06-06)
